"","IDV","IDS","IDS_CHEF","IDS_RAPID","edu","age","age2","male","lit","C1","G","G1","G2","G3","G4","q078_a_elections","q078_b_complaints","q078_c_suggestions","q078_corruption","q078_d_sensibiliser","q078_f_consult","q078_g_pork","q077_a_vote","q077_b_complain","q077_c_suggest","q077_d_meetings","q077_e_obey","q077_f_taxes","q077_g_support","q076_edu_e","q076_sante_e","q079_f_police","q079_g_state","qd2_chief","qd6_chief","qd7_chief","q011_sex","cq057_a_managed_conflict","cq058_a_conflict_same_locality","cq059_a_conflict_different_local","cq060_a_stealing","cq061_a_legal_problems","cq062_a_between_villagers","cq063_a_social","cq073_a_marriage","cq074_a_other_activities","avg_rain_dev","survey_month","t_minus_4_start","t_minus_4_end","t_minus_8_start","t_minus_8_end","meanEvents_t_minus_4","meanEvents_t_minus_8","Confl_Shock","rain","confl"
"33",11041,110415,"BASANGA",1,7,3.4,11.56,1,1,0.666666666666667,0.267857142857143,0.285714285714286,0.285714285714286,0.5,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,"yes",0,0,0,1,1,0,1,0,0,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
"34",11041,110417,"BASANGA",1,11,3.7,13.69,1,1,0,0.321428571428571,0.571428571428571,0.714285714285714,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,"yes",0,0,0,1,1,0,1,0,0,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
"35",11041,110419,"BASANGA",1,6,3.9,15.21,1,0,0,0.321428571428571,0.714285714285714,0.571428571428571,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,"yes",0,0,0,1,1,0,1,0,0,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
"36",11042,110428,"BASANGA",0,10,3.6,12.96,1,1,1,0.214285714285714,0.428571428571429,0.428571428571429,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,"yes",0,0,0,1,1,0,1,0,1,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
"37",11042,110425,"BASANGA",0,8,3.7,13.69,0,1,0,0.321428571428571,0.714285714285714,0.571428571428571,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,"no",0,0,0,1,1,0,1,0,1,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
"38",11042,110426,"BASANGA",0,7,4.5,20.25,1,1,1,0.107142857142857,0.142857142857143,0.285714285714286,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,"yes",0,0,0,1,1,0,1,0,1,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
"39",11042,110427,"BASANGA",0,3,6.7,44.89,0,0,0.333333333333333,0.0714285714285714,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,"no",0,0,0,1,1,0,1,0,1,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
"40",11042,110429,"BASANGA",0,6,3.3,10.89,0,0,0,0.285714285714286,0.857142857142857,0.285714285714286,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"no",0,0,0,1,1,0,1,0,1,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
"41",11051,110517,"BASANGA",1,1,2.9,8.41,0,0,1,0.25,0.428571428571429,0.571428571428571,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,"no",0,0,0,1,1,1,1,0,0,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
"42",11051,110515,"BASANGA",1,6,2.9,8.41,0,1,0,0.0357142857142857,0.142857142857143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no",0,0,0,1,1,1,1,0,0,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
